Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bulgaria,BGR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.74663052,66.45590597,61.57245826,61.33398316,52.88148258,47.39991863,40.17672065,31.13794004,27.73789185,24.12291284,17.96763243,20.1600091,20.58913653,19.48171787,21.79621685,22.05393932,32.50248539,30.85154895,35.54411054,32.23505414,28.69915361,26.93617066,32.26059232,32.89592156,30.29895731,
Bahrain,BHR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.675394355,14.40521656,18.73240545,17.01533638,15.72480226,14.93895661,13.90703987,14.91620566,18.61355528,20.83580327,25.74501489,27.10478363,28.37966711,32.4533576,29.3985592,,20.25406056,7.545456326,7.292625656,15.62940229,30.30678959,35.93609868,37.01247804,43.93780385,45.33295948,63.4862586,74.14615642,81.42325905,88.23971823,95.59885022,115.5171158,,,
"Bahamas, The",BHS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.41882502,27.97670322,30.63042779,34.43402329,34.86652347,33.99825022,34.22277639,21.7237965,20.95173286,19.64114437,18.75200428,,,,,,22.77745428,22.99085356,25.45550067,30.90820841,33.69228171,35.30642921,36.44949303,45.10870736,47.02135938,48.29858035,50.78514444,53.52854119,57.41367967,57.82838309,82.25603025,87.39033166,82.15955396,
Bosnia and Herzegovina,BIH,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.51952076,49.1277417,45.94231733,49.97213277,,47.94648437,44.97074106,40.83070239,40.26596715,44.73336316,45.38086256,39.92730797,
Belarus,BLR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.76086957,5.187817259,75.95571292,16.88006062,11.52012886,12.17146907,20.18054264,15.10311745,15.01445182,11.44061677,12.33668601,,,6.570220588,6.644401832,8.909260816,10.65663437,18.55746198,18.90524573,39.41681084,24.42931342,23.83729556,24.54880852,37.5980986,38.92409841,39.88017996,37.09564601,33.24422862,38.58903327,,,
Belize,BLZ,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.24223864,21.40986609,24.62605278,26.36980688,28.05075523,27.57878886,29.36364661,,,,,,50.58769194,66.86593747,78.89862448,69.97580831,67.36618144,64.36059894,62.26725404,65.20254996,64.40432586,62.84934721,61.70439561,61.54051811,61.40752321,,,,,,,,,
Bermuda,BMU,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.17172417,57.41137939,47.88280662,46.53650541,47.07519259,56.25758298,60.10919774,68.33985276,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.31878046,59.3416583,59.84949,57.22840938,58.45727111,67.53755403,73.41880381,83.66920265,86.60788412,92.56525319,98.70988195,85.01150367,79.10232189,
Barbados,BRB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.79162386,62.3690592,66.80162674,71.08832247,86.85426266,95.62389502,100.1463809,112.466438,120.0639706,129.2033209,141.021451,146.4600534,,,,,,,
Brunei Darussalam,BRN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.34635933,49.38629265,47.48335336,40.94079631,34.44202044,28.26394923,37.85327726,31.93674677,31.08262689,36.09335891,37.29239336,67.167991,54.12178058,65.62876127,71.89933849,75.69571003,71.29755566,59.81107281,57.69652986,53.93674966,51.99716894,58.71603591,68.17759953,90.3688626,86.31077547,82.28779493,93.67291868,95.77868108,95.84782115,90.35735791,111.0078973,,,
Botswana,BWA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.37110325,12.11680206,12.53215057,12.44505995,12.04239764,10.97207607,11.15675555,,,,,,,,,,6.023568087,5.943176413,8.004029974,19.25178187,21.88629705,21.07436228,20.62318079,19.01638129,18.32573361,19.08697767,15.80495231,14.68076918,15.23071514,16.19390431,19.61608146,,,
Central African Republic,CAF,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.57733778,67.2612084,70.51247432,74.99829326,75.74245049,77.31262198,78.03866793,74.92840957,72.48279976,66.2372993,58.72911398,57.45556056,54.14752779,51.25826664,46.79626929,45.99904472,43.20982457,39.05816209,44.90223531,52.97333349,52.95093893,53.75998485,54.62375596,51.1489295,48.86452784,51.67209092,52.57830902,50.78380728,48.94895137,48.58497478,69.85858306,65.59913838,56.09299293,
Switzerland,CHE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.30361945,13.01774555,15.21261372,18.37417866,19.97895008,22.40791819,22.81857188,24.67153562,26.90462701,24.80091916,25.62717023,24.55430047,29.67368512,28.71227234,29.22624056,29.27163534,25.67886748,23.48146345,23.18757287,21.81531222,21.1733554,21.35430444,21.33605118,20.32442305,20.5629413,20.44871662,19.41492875,20.35252541,18.76316119,19.08351154,20.92675962,20.07300852,18.15449534,
Channel Islands,CHI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37231577,14.58447614,12.77982318,12.1152964,13.27700701,13.14564,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0654426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6686948,48.8665342,58.64613734,48.59731537,106.5005227,106.2809792,,,84.81026402,79.4576584,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.8447271,113.5846667,128.4447081,104.0021075,169.7866114,232.9362311,243.5955063,152.1870019,,,,,,,,,,,,,,,,,,,,,,,,,15.98969681,
"Congo, Rep.",COG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.22694172,25.48268447,,,,,,,,,,,,,
Colombia,COL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.76895278,47.52052207,52.95522576,66.52520866,66.45029712,71.32989407,72.32711612,90.7463536,80.03501691,69.87320408,
Comoros,COM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09821118,30.17903086,40.20510243,40.1048029,38.50184887,39.33511191,,,,,,,,,,,,,,,,,,,,,71.11157641,
Cuba,CUB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.7929809,145.049758,145.7523985,149.7599196,157.6363266,163.9947664,164.5812465,164.1300049,155.2473782,145.2012257,132.3615649,89.21554574,92.5830503,105.4375059,119.0747989,149.7124889,158.9936142,157.0158313,151.2804058,142.3359437,148.5256558,147.160719,175.1464533,152.6552865,125.9222918,
Czechia,CZE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.23484112,18.92561994,20.00834769,25.31376908,27.01411604,28.99429493,28.86486683,28.13287432,28.11884626,27.4288366,29.77137472,36.01281636,40.13238598,42.91081728,51.87118236,51.37364461,50.30542372,47.77259286,44.41059832,40.85881446,38.34342341,36.64400817,45.61687234,47.28267818,46.82282014,
Germany,DEU,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.73250095,23.86619743,27.09422065,27.15039217,,,,38.77344347,40.4609416,42.24087166,40.25352813,41.83761578,42.9838531,44.08540035,45.85554405,44.09101581,41.57148287,44.52140004,48.48724103,56.63168772,55.69577065,57.11096379,54.2618315,54.69975371,51.5931967,49.90107633,47.8698319,46.0028228,44.65086022,55.07111316,54.47964727,44.52882654,
Djibouti,DJI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.69530705,71.11205475,67.56392487,64.97698857,59.21850293,52.6028298,50.61718769,50.31550577,47.69503453,43.24526261,36.07425666,32.38559634,25.18228626,32.26154354,38.39136413,42.7398011,49.55168041,49.96590363,46.2943272,48.68327496,42.94454924,40.66935467,38.3727929,36.54626821,38.17240331,48.4031299,39.85566059,26.36931189,
Dominican Republic,DOM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.96018308,17.5702325,,16.41680384,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.78853383,,,,,,,,,,,,,,,,
Eritrea,ERI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,2002.510415,1767.385574,,,,,,,,,,,,,,,,,,,,,,,,55.22902801,61.07099807,60.43523841,60.57180206,55.67184787,53.19536969,49.24390774,48.19439339,44.45550068,43.68863023,40.965188,36.38272128,32.55513918,37.63182607,51.46495314,54.35073765,62.60227372,88.59711501,105.4504946,117.9585947,110.0331336,109.1585545,107.7571236,106.6045098,109.6790883,134.0349999,126.9746309,104.7899116,
Estonia,EST,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.909220025,7.841843336,4.066987003,3.811326323,4.429484901,4.86252614,5.273353741,5.181045677,4.944383971,4.229534012,5.058350961,8.224680467,7.897645108,5.991393308,13.55217445,13.79847604,13.95485067,13.12274003,14.07077738,13.42557616,13.45856977,13.92936694,23.77289115,23.89299664,25.20109125,
Ethiopia,ETH,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.17589236,49.64715478,43.30079488,71.50338555,90.25231001,80.61820764,70.39364894,67.73174268,76.06384427,83.47202478,,,,,,,,,,,,,,10.73328378,26.93727974,27.94312504,29.00569007,30.0951132,32.5332185,31.44884867,,,,
Finland,FIN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.62501453,63.21897948,56.18871022,50.25652018,47.7014668,48.91630258,46.8631502,42.62327931,39.88964528,35.45265994,34.04009986,42.32752122,48.52798138,49.86262487,54.54020902,55.89195433,60.48855227,62.36346004,62.76216221,60.1932824,60.26548218,60.53289863,70.21105874,66.21293844,60.78703859,
Fiji,FJI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.84182174,33.67358458,36.53835481,36.62825932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.36396883,59.1702064,58.29925233,57.81887921,61.17654987,63.67355424,64.64241302,65.61117387,60.97429268,59.48742119,65.37256949,77.94778204,80.30129971,82.29224206,90.2797486,90.96854367,97.55438385,97.98033326,102.2620449,102.2152651,101.6221344,104.9611611,123.1721712,116.8867735,98.66052415,
Faroe Islands,FRO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.60897543,25.44162184,24.15488134,25.2019617,27.11517204,26.32302411,23.38973481,29.94314479,25.95939692,31.59722033,23.69796607,24.15144416,27.86301425,,,
Gabon,GAB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.20337095,29.19489603,30.39975006,35.31355001,40.48008846,88.53758606,87.53616786,88.69798249,90.48673962,87.58789856,87.60202116,84.36484358,86.40064661,86.69351698,90.51168234,92.15892201,92.16460445,93.80223315,105.4065638,123.7283397,131.0878784,143.7590145,147.0536816,141.6433278,150.5916197,147.9494127,156.6044652,161.2700614,158.1630662,160.3221869,196.6123934,186.8521185,142.2830421,
Georgia,GEO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.05163487,46.40299858,45.9022152,56.90647339,60.77760333,58.51963396,56.0323644,55.44930258,45.50740883,36.91560722,29.22923354,23.09008767,19.20406266,23.47325543,30.85677749,31.42083164,27.69722978,28.10481414,28.9477658,30.39215686,36.00034734,39.47883895,38.84131592,38.2238727,44.7236858,65.19331579,54.72712601,42.96939336,
Ghana,GHA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.6488573,108.066837,109.0266289,119.4314572,123.5990185,125.626343,120.6540829,126.6596579,127.5480281,126.5730585,123.820896,127.1583264,143.9804531,136.6022242,116.2115936,168.0351637,185.7616153,189.317574,189.1815337,194.6391093,198.9571154,208.851528,212.4539436,253.2258907,237.4925698,203.2858092,
Grenada,GRD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.48068514,17.75179131,15.83121931,13.62250812,13.16194904,11.40499902,11.24183287,11.34521767,11.28016784,13.47018859,16.98382301,20.26902332,18.69247732,21.03844097,22.14445739,21.60212014,22.23477296,21.98699753,20.38340804,23.3939732,24.81695941,24.56395978,24.70074241,25.20994956,,,,,,,,,,
Guam,GUM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
